Time,Time Code,Country Name,Country Code,CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],GDP per capita (current US$) [NY.GDP.PCAP.CD],"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Mortality rate, neonatal (per 1,000 live births) [SH.DYN.NMRT]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Community health workers (per 1,000 people) [SH.MED.CMHW.P3]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]",GDP (current US$) [NY.GDP.MKTP.CD],"Population, total [SP.POP.TOTL]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]"
1962,YR1962,Brunei Darussalam,BRN,..,..,..,68,..,98.3,..,..,..,..,..,93837,..
1962,YR1962,Canada,CAN,..,2268.58052247238,..,26,..,30.5,..,..,..,1.2,42227357845.3009,18614000,..
1962,YR1962,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,8799,..
1962,YR1962,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,111281,..
1962,YR1962,Chile,CHL,..,663.816285014931,..,118.5,..,141.9,..,..,..,..,5633224652.59091,8486120,590
1962,YR1962,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,4196712,..
1962,YR1962,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,128414,..
1962,YR1962,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,601095,..
1962,YR1962,Czechia,CZE,..,..,..,..,..,..,..,..,..,..,..,9624660,..
1962,YR1962,Denmark,DNK,..,..,..,20.2,15.5,23.8,..,..,..,..,..,4647727,..
1962,YR1962,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,1241623,..
1962,YR1962,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,34963,..
1962,YR1962,Finland,FIN,..,1411.70239818044,..,19.5,14.8,23.8,..,..,..,..,6340580854.39073,4491443,1370
1962,YR1962,France,FRA,..,1585.73531130188,..,21.4,16.3,25.7,..,..,..,..,75607529809.9288,47679792,1560
1962,YR1962,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,89208,..
1962,YR1962,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,74025784,..
1962,YR1962,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,22249,..
1962,YR1962,Greece,GRC,..,617.057757690519,..,37.8,20,44,..,..,..,1.3,5213047711.42704,8448233,620
1962,YR1962,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,35000,..
1962,YR1962,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,75412,..
1962,YR1962,Guyana,GUY,..,322.319570104457,..,62.4,38,85,..,..,..,..,194949512.544989,604833,280
1962,YR1962,"Hong Kong SAR, China",HKG,..,487.821134050813,..,..,..,..,..,..,..,..,1612346412.26475,3305200,..
1962,YR1962,Hungary,HUN,..,..,..,43.7,26.9,49.1,..,..,..,1.7,..,10061734,..
1962,YR1962,Iceland,ISL,..,1562.23075670951,..,16.7,11.2,20.7,..,..,..,1.2,284916520.947168,182378,1540
1962,YR1962,Ireland,IRL,..,797.006288353959,..,28.1,19.2,32.5,..,..,..,..,2260349684.08625,2836050,..
1962,YR1962,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,48669,..
1962,YR1962,Israel,ISR,..,1132.38439427483,..,31,..,37.3,..,..,..,..,2596557416.07218,2293000,1420
1962,YR1962,Italy,ITA,..,990.26015216342,..,40.9,22.9,47.6,..,..,..,..,50383891898.9911,50879450,960
1962,YR1962,Japan,JPN,..,639.640784797478,..,25.5,..,32.9,..,..,..,1,60723018623.179,94933000,610
1962,YR1962,"Korea, Rep.",KOR,..,106.160111088805,..,73.1,28,101.8,..,..,..,..,2814626210.10081,26513030,120
1962,YR1962,Kuwait,KWT,..,..,..,86.7,..,123.2,..,..,..,..,..,378190,..
1962,YR1962,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,2181586,..
1962,YR1962,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,17221,..
1962,YR1962,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,2863350,..
1962,YR1962,Luxembourg,LUX,..,2311.79884893619,..,28.7,..,33.8,..,..,..,1,741509480.796284,320750,1630
1962,YR1962,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,186039,..
1962,YR1962,Malta,MLT,..,..,..,32.9,..,36.7,..,..,..,..,..,323900,..
1962,YR1962,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,22106,..
1962,YR1962,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,4950,..
1962,YR1962,Netherlands,NLD,..,1240.67789437294,..,15.6,12.6,19.7,..,..,..,1.1,14647057370.1418,11805689,1220
1962,YR1962,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,83400,..
1962,YR1962,New Zealand,NZL,..,2448.62863326468,..,20.9,..,25.8,..,..,..,..,6077496267.76294,2482000,..
1962,YR1962,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,9252,..
1962,YR1962,Norway,NOR,..,1667.2474297782,..,17.5,12,21.5,..,..,..,1.2,6066976682.67364,3638918,1610
1962,YR1962,Oman,OMN,..,..,..,..,..,338.5,..,..,..,..,..,557139,..
1962,YR1962,Panama,PAN,..,545.119866520548,..,63.4,38.3,86.5,..,..,..,..,652120900,1196289,500
